Id	Label	Color
308	Ave Maria	4
309	Miles	4
310	Chowan	4
311	Dartmouth	0
312	Wisconsin-Oshkosh	4
313	Mississippi College	4
314	Virginia-Wise	4
315	Arkansas Tech	4
316	West Liberty State	4
317	Alderson Broaddus	4
318	Limestone College	3
319	Kentucky Wesleyan	4
320	Wesley	4
