Id	Label	Color
212	Alabama St.	2
213	UTEP	6
214	New Mexico	5
215	North Texas	6
216	Texas	6
217	Grambling	2
218	Lamar	1
219	Florida St.	6
220	Oklahoma St.	6
221	Jacksonville	0
222	SE Louisiana	1
223	NC Central	4
224	East Carolina	6
225	LSU	6
226	Wisconsin	6
227	Montana-Western	5
228	South Dakota	4
229	Oregon	5
230	Washington	5
231	Hawaii	5
232	Alabama A&M	2
233	NC A&T	4
234	Prairie View A&M	2
235	Texas Southern	2
236	Utah St.	5
237	Tennessee	6
238	SMU	6
239	Baylor	6
240	Miami (Fla.)	6
241	Louisville	6
242	Texas College	1
243	Johnson C. Smith	4
244	Army	6
245	McNeese St.	1
246	Lehigh	3
247	Clarion	4
248	Merrimack	4
249	Dayton	0
250	Tuskegee	4
251	South Alabama	6
252	William Penn	4
253	Brevard College	4
254	Florida	6
255	Elizabeth City State	4
256	Central Washington	5
257	Newberry	4
258	Pikeville College	0
259	Lafayette	3
260	Concordia	4
261	Butler	0
262	Wittenberg	0
263	Bluefield State	4
264	Florida Tech	4
265	Central Methodist	4
266	Truman State	0
267	Catawba	0
268	Idaho	6
269	Rhode Island	3
270	Kansas	6
271	Illinois St.	4
272	St. Joseph's (IN)	0
273	McMurry University	6
274	Houston Baptist	1
275	Fort Lewis	5
276	Western New Mexico	0
277	San Diego	0
278	Black Hills State	5
279	N. Colorado	5
280	Western Oregon	5
281	Stillman College	4
282	Cumberland (TN)	4
283	Cincinnati	6
284	Bowie State	4
285	Louisiana College	4
286	Morehouse	4
287	Central State (Ohio)	4
288	Chadron State	5
289	Fort Valley State	4
290	American International	4
291	Assumption	4
292	New Mexico Highlands	5
293	Henderson State	6
294	Texas A&M-Commerce	6
295	N. Greenville	4
296	CSU-Pueblo	6
297	Harvard	3
298	Menlo	5
299	Yale	3
300	Brown	3
301	Columbia	3
302	Cornell	3
303	Penn	3
304	Birmingham-Southern	0
305	William Jewell	0
306	West Alabama	4
307	Princeton	3
308	Ave Maria	4
309	Miles	4
310	Chowan	4
311	Dartmouth	3
312	Wisconsin-Oshkosh	4
313	Mississippi College	6
314	Virginia-Wise	4
315	Arkansas Tech	6
316	West Liberty State	4
317	Alderson Broaddus	4
318	Limestone College	0
319	Kentucky Wesleyan	4
320	Wesley	4
