,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[121.26707179  88.58324468  74.23717475]
 [200.94411174 181.7807516  167.88228884]]","[[121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 ...
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]]",496438158.5246804,0.0,0.40625,19,2
1,[3 3 3 ... 2 2 2],"[[194.62982086 173.27571265 157.50586888]
 [227.45412643 215.01878701 206.86175209]
 [ 91.26385075  55.38601572  44.64008726]
 [156.20966499 128.14581177 110.00226867]]","[[156.20966499 128.14581177 110.00226867]
 [156.20966499 128.14581177 110.00226867]
 [156.20966499 128.14581177 110.00226867]
 ...
 [ 91.26385075  55.38601572  44.64008726]
 [ 91.26385075  55.38601572  44.64008726]
 [ 91.26385075  55.38601572  44.64008726]]",167269043.98334455,0.0,0.609375,16,4
2,[6 6 6 ... 4 4 3],"[[236.75338024 231.32298565 228.57077815]
 [128.71422984  91.14047324  75.59187797]
 [195.71972376 176.21505525 161.68823204]
 [ 92.87853335  58.23001131  46.70190599]
 [ 56.13042838  21.02105108  15.60989254]
 [178.87023363 153.82218183 135.0015525 ]
 [156.0683423  129.74185051 111.52595763]
 [218.76109054 199.4949539  186.4189719 ]]","[[156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 ...
 [ 56.13042838  21.02105108  15.60989254]
 [ 56.13042838  21.02105108  15.60989254]
 [ 92.87853335  58.23001131  46.70190599]]",72974651.87074216,0.0,8.875,120,8
3,[14 14 14 ...  2  2 13],"[[170.26587327 145.29505602 126.11046401]
 [192.55220438 173.73743309 158.93489141]
 [ 53.05781711  15.29832842  10.67866273]
 [142.79230936 115.1703237   96.53899631]
 [241.28022186 239.01827808 238.30001261]
 [184.42455996 159.9238241  141.19503149]
 [242.97669305 189.44217238 161.68293755]
 [120.36075753  93.51961089  75.45441374]
 [202.66908625 186.50707576 174.32444797]
 [ 99.54516595  71.52525253  53.5975469 ]
 [230.75983732 218.97407219 211.78901881]
 [142.93068504  36.60437779  42.62869882]
 [214.80561452 201.43115371 191.35419377]
 [ 71.76984727  49.1512173   39.89066989]
 [156.58630731 132.18178439 113.4070632 ]
 [190.56590909  73.67121212  85.13333333]]","[[156.58630731 132.18178439 113.4070632 ]
 [156.58630731 132.18178439 113.4070632 ]
 [156.58630731 132.18178439 113.4070632 ]
 ...
 [ 53.05781711  15.29832842  10.67866273]
 [ 53.05781711  15.29832842  10.67866273]
 [ 71.76984727  49.1512173   39.89066989]]",36451451.612719804,0.0,15.59375,97,16
