,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[199. 180. 166.]
 [136. 101.  84.]]","[[136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]
 ...
 [136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]]",552908196.0,0.0,0.15625,7,2
1,[1 1 1 ... 2 2 2],"[[225. 209. 199.]
 [159. 134. 116.]
 [ 98.  62.  51.]
 [193. 174. 158.]]","[[159. 134. 116.]
 [159. 134. 116.]
 [159. 134. 116.]
 ...
 [ 98.  62.  51.]
 [ 98.  62.  51.]
 [ 98.  62.  51.]]",44036496.0,0.015625,1.328125,40,4
2,[2 2 2 ... 1 1 1],"[[187. 165. 147.]
 [ 70.  39.  31.]
 [167. 143. 124.]
 [150. 124. 105.]
 [197. 180. 166.]
 [116.  87.  70.]
 [215. 200. 189.]
 [236. 230. 229.]]","[[167. 143. 124.]
 [167. 143. 124.]
 [167. 143. 124.]
 ...
 [ 70.  39.  31.]
 [ 70.  39.  31.]
 [ 70.  39.  31.]]",32424484624.0,0.0,0.84375,13,8
3,[ 3  3  3 ... 15 15  0],"[[ 71.          53.          43.        ]
 [152.          40.          46.        ]
 [ 41.74060599 224.58693948 102.61707802]
 [164.         141.         122.        ]
 [237.         232.         231.        ]
 [182.         159.         140.        ]
 [ 49.66593237 219.0163981   67.49553532]
 [192.         174.         158.        ]
 [124.          97.          78.        ]
 [102.          74.          58.        ]
 [150.         124.         105.        ]
 [ 50.97262303 253.84602885 140.09616596]
 [204.         188.         173.        ]
 [217.         204.         193.        ]
 [205.         116.         111.        ]
 [ 53.          16.          12.        ]]","[[164. 141. 122.]
 [164. 141. 122.]
 [164. 141. 122.]
 ...
 [ 53.  16.  12.]
 [ 53.  16.  12.]
 [ 71.  53.  43.]]",62089675684.0,0.0,4.953125,37,16
