,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[166. 159. 166.]
 [ 51.  52.  34.]]","[[166. 159. 166.]
 [166. 159. 166.]
 [166. 159. 166.]
 ...
 [ 51.  52.  34.]
 [ 51.  52.  34.]
 [ 51.  52.  34.]]",2239488306064.0,0.0,0.109375,6,2
1,[3 3 3 ... 0 0 0],"[[ 39.  34.  27.]
 [136. 157. 175.]
 [ 96.  90.  77.]
 [222. 173. 139.]]","[[222. 173. 139.]
 [222. 173. 139.]
 [222. 173. 139.]
 ...
 [ 39.  34.  27.]
 [ 39.  34.  27.]
 [ 39.  34.  27.]]",341365590225.0,0.0,0.5,16,4
2,[3 3 3 ... 4 7 7],"[[138. 160. 181.]
 [210. 146.  97.]
 [117.  94.  49.]
 [255. 255. 255.]
 [ 63.  65.  66.]
 [212. 183. 173.]
 [ 92. 122. 142.]
 [ 35.  29.  25.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 63.  65.  66.]
 [ 35.  29.  25.]
 [ 35.  29.  25.]]",64082897316.0,0.0,1.078125,18,8
3,[15 15 15 ...  4 14 14],"[[137. 161. 183.]
 [ 36.  29.  25.]
 [128.  99.  37.]
 [ 24.  21.  19.]
 [ 84.  70.  32.]
 [157. 125.  96.]
 [212. 158. 111.]
 [ 60.  74.  84.]
 [183. 170. 171.]
 [ 37.  52.  61.]
 [101.  94.  92.]
 [232. 199. 181.]
 [ 89. 133. 160.]
 [245. 118.  42.]
 [ 55.  44.  30.]
 [255. 255. 255.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 84.  70.  32.]
 [ 55.  44.  30.]
 [ 55.  44.  30.]]",2161413081.0,0.0,4.734375,39,16
