,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 73.  77.  71.]
 [193. 181. 168.]]","[[73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]
 ...
 [73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]]",85784644.0,0.0,0.453125,15,2
1,[1 1 1 ... 1 1 1],"[[217. 220. 222.]
 [118. 114.  87.]
 [185. 168. 151.]
 [ 31.  42.  35.]]","[[118. 114.  87.]
 [118. 114.  87.]
 [118. 114.  87.]
 ...
 [118. 114.  87.]
 [118. 114.  87.]
 [118. 114.  87.]]",1295576638756.0,0.0,0.59375,11,4
2,[5 5 5 ... 1 1 1],"[[ 22.  63. 116.]
 [114. 130.  93.]
 [178. 155. 137.]
 [159. 106.  83.]
 [193. 185. 175.]
 [ 71.  70.  53.]
 [220. 223. 225.]
 [ 21.  23.  20.]]","[[ 71.  70.  53.]
 [ 71.  70.  53.]
 [ 71.  70.  53.]
 ...
 [114. 130.  93.]
 [114. 130.  93.]
 [114. 130.  93.]]",109008927225.0,0.0,1.921875,20,8
3,[ 9  9  9 ... 12 12 12],"[[137.         146.         149.        ]
 [217.         203.         127.        ]
 [223.         227.         228.        ]
 [189.         163.         146.        ]
 [ 54.          51.          36.        ]
 [ 11.          44.          83.        ]
 [157.         104.          82.        ]
 [173.         136.         113.        ]
 [190.         182.         175.        ]
 [ 85.          84.          66.        ]
 [ 34.          71.         129.        ]
 [ 49.84804081 247.81854124 171.14344897]
 [118.         140.          87.        ]
 [ 17.          18.          16.        ]
 [200.         206.         210.        ]
 [100.         112.         119.        ]]","[[ 85.  84.  66.]
 [ 85.  84.  66.]
 [ 85.  84.  66.]
 ...
 [118. 140.  87.]
 [118. 140.  87.]
 [118. 140.  87.]]",86763237136.0,0.0,6.953125,35,16
