,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[166. 159. 166.]
 [ 51.  52.  34.]]","[[166. 159. 166.]
 [166. 159. 166.]
 [166. 159. 166.]
 ...
 [ 51.  52.  34.]
 [ 51.  52.  34.]
 [ 51.  52.  34.]]",2239488306064.0,0.015625,0.078125,4,2
1,[0 0 0 ... 1 1 1],"[[222. 172. 139.]
 [ 39.  34.  27.]
 [ 96.  90.  77.]
 [135. 157. 175.]]","[[222. 172. 139.]
 [222. 172. 139.]
 [222. 172. 139.]
 ...
 [ 39.  34.  27.]
 [ 39.  34.  27.]
 [ 39.  34.  27.]]",376792179556.0,0.015625,0.609375,19,4
2,[4 4 4 ... 5 2 2],"[[211. 151. 103.]
 [147. 164. 179.]
 [ 35.  29.  25.]
 [ 52.  65.  74.]
 [240. 209. 191.]
 [ 81.  67.  31.]
 [ 92. 134. 160.]
 [122. 101.  80.]]","[[240. 209. 191.]
 [240. 209. 191.]
 [240. 209. 191.]
 ...
 [ 81.  67.  31.]
 [ 35.  29.  25.]
 [ 35.  29.  25.]]",59746024900.0,0.015625,1.34375,21,8
3,[11 11 11 ...  5  8  8],"[[126.  98.  37.]
 [161. 128.  93.]
 [ 68.  73.  78.]
 [161. 167. 178.]
 [ 38.  50.  59.]
 [ 81.  68.  30.]
 [227. 195. 178.]
 [ 29.  24.  22.]
 [ 50.  38.  29.]
 [121. 153. 179.]
 [245. 118.  42.]
 [255. 255. 255.]
 [ 85. 124. 146.]
 [105.  95.  91.]
 [210. 160. 115.]
 [ 14.  72.  94.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 81.  68.  30.]
 [ 50.  38.  29.]
 [ 50.  38.  29.]]",109914256.0,0.015625,5.96875,48,16
