,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 73.  77.  71.]
 [193. 181. 168.]]","[[73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]
 ...
 [73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]]",85784644.0,0.015625,0.28125,10,2
1,[2 2 2 ... 2 2 2],"[[217. 220. 222.]
 [ 31.  41.  35.]
 [117. 114.  87.]
 [185. 167. 151.]]","[[117. 114.  87.]
 [117. 114.  87.]
 [117. 114.  87.]
 ...
 [117. 114.  87.]
 [117. 114.  87.]
 [117. 114.  87.]]",1384086366784.0,0.0,0.65625,13,4
2,[3 3 3 ... 0 0 0],"[[114. 130.  93.]
 [178. 155. 137.]
 [ 23.  64. 117.]
 [ 71.  70.  53.]
 [193. 185. 175.]
 [220. 223. 225.]
 [159. 106.  83.]
 [ 21.  23.  20.]]","[[ 71.  70.  53.]
 [ 71.  70.  53.]
 [ 71.  70.  53.]
 ...
 [114. 130.  93.]
 [114. 130.  93.]
 [114. 130.  93.]]",93613969296.0,0.015625,2.21875,23,8
3,[10 10 10 ... 11 11  8],"[[ 15.  18.  16.]
 [ 15.  60. 113.]
 [200. 206. 210.]
 [191. 166. 149.]
 [155. 165. 166.]
 [ 48.  47.  34.]
 [198. 187. 172.]
 [223. 227. 228.]
 [109. 127.  77.]
 [ 86.  97. 105.]
 [ 77.  75.  57.]
 [124. 148.  93.]
 [179. 146. 125.]
 [169. 120.  98.]
 [117. 128. 140.]
 [152. 100.  78.]]","[[ 77.  75.  57.]
 [ 77.  75.  57.]
 [ 77.  75.  57.]
 ...
 [124. 148.  93.]
 [124. 148.  93.]
 [109. 127.  77.]]",146516700625.0,0.015625,8.796875,41,16
