,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[199. 180. 166.]
 [136. 101.  84.]]","[[136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]
 ...
 [136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]]",552908196.0,0.453125,0.1875,10,2
1,[0 0 0 ... 1 1 1],"[[159. 134. 116.]
 [ 98.  62.  51.]
 [225. 209. 199.]
 [193. 174. 158.]]","[[159. 134. 116.]
 [159. 134. 116.]
 [159. 134. 116.]
 ...
 [ 98.  62.  51.]
 [ 98.  62.  51.]
 [ 98.  62.  51.]]",44036496.0,2.421875,1.234375,35,4
2,[4 4 4 ... 3 3 3],"[[117.  91.  73.]
 [179. 155. 136.]
 [157.  43.  49.]
 [ 69.  44.  30.]
 [156. 132. 113.]
 [235. 229. 227.]
 [213. 198. 186.]
 [194. 176. 161.]]","[[156. 132. 113.]
 [156. 132. 113.]
 [156. 132. 113.]
 ...
 [ 69.  44.  30.]
 [ 69.  44.  30.]
 [ 69.  44.  30.]]",408161209.0,10.609375,1.484375,22,8
3,[ 6  6  6 ...  0  0 13],"[[ 56.  19.  15.]
 [122.  94.  76.]
 [227. 214. 204.]
 [236. 234. 233.]
 [245. 244. 243.]
 [182. 158. 139.]
 [165. 141. 123.]
 [196. 179. 165.]
 [245. 192. 163.]
 [210. 197. 185.]
 [204. 188. 175.]
 [229. 225. 221.]
 [216. 204. 194.]
 [ 92.  58.  48.]
 [190. 171. 154.]
 [151. 125. 106.]]","[[165. 141. 123.]
 [165. 141. 123.]
 [165. 141. 123.]
 ...
 [ 56.  19.  15.]
 [ 56.  19.  15.]
 [ 92.  58.  48.]]",1410152704.0,43.828125,5.3125,38,16
