,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 74.59407487  76.04869875  66.44037077]
 [189.91441097 182.64826808 172.45584686]]","[[74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 ...
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]]",1241175017.8288615,0.0,0.640625,21,2
1,[2 2 1 ... 2 2 2],"[[182.28367015 166.69982352 148.67129213]
 [ 35.63656913  42.20839938  45.50039282]
 [121.11760406 115.964445    93.0774777 ]
 [212.76599581 217.42816254 220.33402448]]","[[121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]
 ...
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]]",470191946.4910411,0.0,2.0,38,4
2,[7 7 7 ... 3 3 3],"[[217.70114943 222.87928189 226.55815409]
 [ 24.70134499  64.33786147 117.15682582]
 [157.6238293  108.0678394   84.24322013]
 [112.68284507 129.59646845 101.44047591]
 [192.1925072  185.76384044 175.86173214]
 [175.85166293 156.6471282  135.00993631]
 [ 24.32026526  25.23880787  24.25547538]
 [ 74.93488098  72.55625465  55.21237292]]","[[ 74.93488098  72.55625465  55.21237292]
 [ 74.93488098  72.55625465  55.21237292]
 [ 74.93488098  72.55625465  55.21237292]
 ...
 [112.68284507 129.59646845 101.44047591]
 [112.68284507 129.59646845 101.44047591]
 [112.68284507 129.59646845 101.44047591]]",233087883.13492015,0.0,4.6875,46,8
3,[7 7 7 ... 4 4 4],"[[217.87555329 200.81528771 130.72693224]
 [ 49.74625199  45.32429559  29.92222222]
 [ 16.07938905  16.43262717  16.49488717]
 [232.87747391 237.10615329 241.06108312]
 [120.90086584 141.9449449   90.29106175]
 [ 92.93237665 107.02437586 121.08983684]
 [ 15.52191875  39.37548772  74.00068855]
 [ 73.63402959  72.67754569  56.96257615]
 [186.0215208  189.66857963 192.57648162]
 [104.60028869 101.48172692  72.71202677]
 [189.47650574 168.86496711 154.43519195]
 [175.82866841 144.50708671 118.18574321]
 [ 24.56122238  69.10479042 127.67447863]
 [131.35926323 143.59003934 154.06545064]
 [160.06369867 105.80082877  83.33549381]
 [211.80619454 216.98940295 219.63845093]]","[[ 73.63402959  72.67754569  56.96257615]
 [ 73.63402959  72.67754569  56.96257615]
 [ 73.63402959  72.67754569  56.96257615]
 ...
 [120.90086584 141.9449449   90.29106175]
 [120.90086584 141.9449449   90.29106175]
 [120.90086584 141.9449449   90.29106175]]",119940322.81110458,0.0,11.765625,57,16
