,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[121.26707179  88.58324468  74.23717475]
 [200.94411174 181.7807516  167.88228884]]","[[121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 ...
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]]",496438158.5246804,0.546875,0.453125,19,2
1,[3 3 3 ... 2 2 2],"[[227.45132976 215.01032311 206.85057739]
 [194.59960533 173.2411157  157.4666932 ]
 [ 91.10151286  55.16565809  44.46187595]
 [156.05674695 127.99665677 109.85412955]]","[[156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 ...
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]]",167269054.17505154,2.546875,1.0,28,4
2,[7 7 7 ... 2 2 1],"[[236.70703393 231.25298805 228.48578101]
 [ 92.38647814  58.13497481  46.57402893]
 [ 56.06974329  20.82935154  15.43760202]
 [218.67789626 199.38098681 186.28201699]
 [128.54613173  90.68446158  75.22628071]
 [195.50719336 175.98514919 161.39641287]
 [178.27286729 153.19785132 134.36042974]
 [155.69733093 129.22402159 111.03531264]]","[[155.69733093 129.22402159 111.03531264]
 [155.69733093 129.22402159 111.03531264]
 [155.69733093 129.22402159 111.03531264]
 ...
 [ 56.06974329  20.82935154  15.43760202]
 [ 56.06974329  20.82935154  15.43760202]
 [ 92.38647814  58.13497481  46.57402893]]",72973293.66896953,10.265625,3.515625,52,8
3,[15 15 15 ...  2  2  4],"[[240.90637066 238.55176158 237.78378378]
 [230.08628955 217.76768936 210.16529243]
 [ 51.72158155  14.85214168  10.24299835]
 [212.93308188 199.49537657 189.18962161]
 [ 71.79540964  47.57273142  38.74327405]
 [242.79105126 189.65529974 161.90399652]
 [ 97.86909706  69.90893709  52.05029995]
 [116.72013132  90.7288076   73.23484582]
 [144.17104731  37.23129802  43.32470683]
 [199.83339181 183.03804321 170.37266302]
 [182.42218733 156.49622562 137.34482759]
 [138.43689847 108.68144232  89.17635895]
 [190.52633636 170.67047787 154.95490081]
 [152.46670811 127.61507114 108.97119768]
 [192.20983859  75.47425058  86.86241353]
 [165.62959819 141.93254103 122.97781551]]","[[165.62959819 141.93254103 122.97781551]
 [165.62959819 141.93254103 122.97781551]
 [165.62959819 141.93254103 122.97781551]
 ...
 [ 51.72158155  14.85214168  10.24299835]
 [ 51.72158155  14.85214168  10.24299835]
 [ 71.79540964  47.57273142  38.74327405]]",36403122.07822361,43.21875,24.59375,173,16
