,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[121.26707179  88.58324468  74.23717475]
 [200.94411174 181.7807516  167.88228884]]","[[121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 ...
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]]",496438158.5246804,0.0,0.375,18,2
1,[1 1 1 ... 2 2 2],"[[194.62982086 173.27571265 157.50586888]
 [156.20966499 128.14581177 110.00226867]
 [ 91.26385075  55.38601572  44.64008726]
 [227.45412643 215.01878701 206.86175209]]","[[156.20966499 128.14581177 110.00226867]
 [156.20966499 128.14581177 110.00226867]
 [156.20966499 128.14581177 110.00226867]
 ...
 [ 91.26385075  55.38601572  44.64008726]
 [ 91.26385075  55.38601572  44.64008726]
 [ 91.26385075  55.38601572  44.64008726]]",167269043.98334455,0.0,0.640625,19,4
2,[0 0 0 ... 7 7 4],"[[156.0683423  129.74185051 111.52595763]
 [218.76109054 199.4949539  186.4189719 ]
 [178.87023363 153.82218183 135.0015525 ]
 [128.71422984  91.14047324  75.59187797]
 [ 92.87853335  58.23001131  46.70190599]
 [236.75338024 231.32298565 228.57077815]
 [195.71972376 176.21505525 161.68823204]
 [ 56.13042838  21.02105108  15.60989254]]","[[156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 ...
 [ 56.13042838  21.02105108  15.60989254]
 [ 56.13042838  21.02105108  15.60989254]
 [ 92.87853335  58.23001131  46.70190599]]",72974651.87074216,0.015625,4.984375,74,8
3,[11  7  7 ...  1  1  0],"[[ 71.99563779  47.93050542  38.99353189]
 [ 51.93330614  14.97654497  10.33816031]
 [200.87286024 184.33320693 171.88049837]
 [191.25493074 171.82304376 156.46110449]
 [213.58406911 200.22689449 190.0347456 ]
 [117.81609585  91.54832146  73.84944049]
 [ 98.39506733  70.44666364  52.57179604]
 [166.6224247  142.76803436 123.80128838]
 [139.66437378 110.45723556  91.20999351]
 [183.11153778 157.47923436 138.36586519]
 [240.89220905 238.58178079 237.82930075]
 [153.52043487 128.7788739  110.10616737]
 [144.18012924  37.26211632  43.35339257]
 [242.82192677 189.6299041  161.84960767]
 [192.49501916  75.73409962  87.04980843]
 [230.40638319 218.1071464  210.56675587]]","[[153.52043487 128.7788739  110.10616737]
 [166.6224247  142.76803436 123.80128838]
 [166.6224247  142.76803436 123.80128838]
 ...
 [ 51.93330614  14.97654497  10.33816031]
 [ 51.93330614  14.97654497  10.33816031]
 [ 71.99563779  47.93050542  38.99353189]]",36389401.01131416,0.015625,23.390625,174,16
