,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[200.94411174 181.7807516  167.88228884]
 [121.26707179  88.58324468  74.23717475]]","[[121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 ...
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]]",496438158.5246804,0.0,0.453125,22,2
1,[1 1 1 ... 0 0 0],"[[ 91.10151286  55.16565809  44.46187595]
 [156.05674695 127.99665677 109.85412955]
 [227.45132976 215.01032311 206.85057739]
 [194.59960533 173.2411157  157.4666932 ]]","[[156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 ...
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]]",167269054.17505154,0.0,1.484375,42,4
2,[4 4 4 ... 1 1 0],"[[ 92.36991639  58.11413264  46.55588928]
 [ 56.02988403  20.79542076  15.41064526]
 [128.54613173  90.68446158  75.22628071]
 [236.70703393 231.25298805 228.48578101]
 [155.69733093 129.22402159 111.03531264]
 [218.67789626 199.38098681 186.28201699]
 [195.50719336 175.98514919 161.39641287]
 [178.27286729 153.19785132 134.36042974]]","[[155.69733093 129.22402159 111.03531264]
 [155.69733093 129.22402159 111.03531264]
 [155.69733093 129.22402159 111.03531264]
 ...
 [ 56.02988403  20.79542076  15.41064526]
 [ 56.02988403  20.79542076  15.41064526]
 [ 92.36991639  58.11413264  46.55588928]]",72973307.7867708,0.0,5.890625,83,8
3,[ 1  1  1 ... 10 10  8],"[[187.99927426 166.46199389 149.27024446]
 [153.08813209 128.2627967  109.63343653]
 [ 17.51785714  18.9375      71.52678571]
 [199.80915243 183.11671828 170.47264595]
 [170.64238348 146.65592814 127.28768283]
 [ 95.16589737  37.32554982  25.73445561]
 [105.82438805  79.1258702   61.71289019]
 [130.61491539 101.91125541  82.90643447]
 [ 69.35786487  54.45114382  46.24968966]
 [218.523263   204.63942357 194.56598044]
 [ 48.31892259  15.58510638   9.56111363]
 [237.76336527 233.04681706 230.815822  ]
 [157.59598976  44.31953925  51.3528157 ]
 [ 97.18268364 249.41155881  83.22274283]
 [242.54231699 189.54759288 161.66146406]
 [204.18557476  98.68369647 104.42223892]]","[[153.08813209 128.2627967  109.63343653]
 [153.08813209 128.2627967  109.63343653]
 [153.08813209 128.2627967  109.63343653]
 ...
 [ 48.31892259  15.58510638   9.56111363]
 [ 48.31892259  15.58510638   9.56111363]
 [ 69.35786487  54.45114382  46.24968966]]",42222854.21837628,0.0,18.71875,128,16
