,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[201. 182. 168.]
 [142. 109.  91.]]","[[142. 109.  91.]
 [142. 109.  91.]
 [142. 109.  91.]
 ...
 [142. 109.  91.]
 [142. 109.  91.]
 [142. 109.  91.]]",466644736996.0,0.015625,0.140625,7,2
1,[0 0 0 ... 2 2 2],"[[160. 135. 116.]
 [193. 174. 158.]
 [ 99.  62.  51.]
 [225. 209. 200.]]","[[160. 135. 116.]
 [160. 135. 116.]
 [160. 135. 116.]
 ...
 [ 99.  62.  51.]
 [ 99.  62.  51.]
 [ 99.  62.  51.]]",24512401.0,0.015625,0.40625,11,4
2,[0 0 0 ... 7 7 7],"[[166. 142. 123.]
 [117.  87.  71.]
 [150. 124. 105.]
 [185. 162. 143.]
 [214. 199. 188.]
 [236. 230. 228.]
 [196. 179. 164.]
 [ 71.  40.  31.]]","[[166. 142. 123.]
 [166. 142. 123.]
 [166. 142. 123.]
 ...
 [ 71.  40.  31.]
 [ 71.  40.  31.]
 [ 71.  40.  31.]]",20089377169.0,0.0,1.453125,23,8
3,[9 9 9 ... 3 3 1],"[[237. 233. 232.]
 [ 89.  56.  47.]
 [207. 193. 182.]
 [ 55.  18.  14.]
 [116.  88.  72.]
 [149. 131. 115.]
 [219. 207. 197.]
 [190. 171. 155.]
 [182. 151. 128.]
 [163. 141. 122.]
 [183. 161. 142.]
 [197. 180. 167.]
 [167. 149. 134.]
 [245. 192. 163.]
 [161. 126. 102.]
 [137. 108.  89.]]","[[163. 141. 122.]
 [163. 141. 122.]
 [163. 141. 122.]
 ...
 [ 55.  18.  14.]
 [ 55.  18.  14.]
 [ 89.  56.  47.]]",36694467364.0,0.015625,6.3125,47,16
