,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[140. 106.  88.]
 [200. 181. 167.]]","[[140. 106.  88.]
 [140. 106.  88.]
 [140. 106.  88.]
 ...
 [140. 106.  88.]
 [140. 106.  88.]
 [140. 106.  88.]]",84547192900.0,0.421875,0.046875,3,2
1,[3 3 3 ... 2 2 2],"[[225. 209. 199.]
 [193. 174. 158.]
 [ 99.  62.  51.]
 [159. 134. 116.]]","[[159. 134. 116.]
 [159. 134. 116.]
 [159. 134. 116.]
 ...
 [ 99.  62.  51.]
 [ 99.  62.  51.]
 [ 99.  62.  51.]]",579653776.0,2.28125,0.53125,17,4
2,[5 5 5 ... 2 2 2],"[[236. 230. 228.]
 [214. 199. 187.]
 [ 69.  38.  30.]
 [195. 178. 163.]
 [114.  84.  68.]
 [164. 140. 121.]
 [146. 120. 101.]
 [184. 161. 141.]]","[[164. 140. 121.]
 [164. 140. 121.]
 [164. 140. 121.]
 ...
 [ 69.  38.  30.]
 [ 69.  38.  30.]
 [ 69.  38.  30.]]",23763147409.0,10.140625,2.78125,42,8
3,[14 14 14 ...  2  2  4],"[[236. 231. 230.]
 [216. 202. 191.]
 [ 53.  16.  12.]
 [201. 184. 170.]
 [ 73.  51.  40.]
 [158. 124. 101.]
 [104.  70.  55.]
 [191. 173. 157.]
 [117.  91.  75.]
 [184. 162. 142.]
 [181. 151. 128.]
 [139. 106.  86.]
 [171. 138. 113.]
 [166. 147. 130.]
 [154. 136. 120.]
 [141. 123. 110.]]","[[154. 136. 120.]
 [154. 136. 120.]
 [154. 136. 120.]
 ...
 [ 53.  16.  12.]
 [ 53.  16.  12.]
 [ 73.  51.  40.]]",105263909136.0,43.59375,10.296875,77,16
