,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 0 0 0],"[[ 60.27504566  56.21564111  45.89597803]
 [172.03466717 161.22584305 153.36686159]]","[[172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 ...
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]]",716006603.1182334,0.0,0.203125,10,2
1,[3 3 3 ... 0 0 0],"[[ 49.53157961  47.41306327  40.51905702]
 [120.58841281 148.64802847 170.45027758]
 [164.32262117 117.05663142  72.28525071]
 [219.06839879 193.72966767 175.22126888]]","[[219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 ...
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]]",377092750.6596686,0.0,1.890625,52,4
2,[4 4 4 ... 7 7 7],"[[206.76482181 179.08550939 160.86051349]
 [ 52.82632013  64.99571988  71.47658828]
 [ 93.23621103 113.61046163 127.85139388]
 [208.51782191 136.87800868  80.3978035 ]
 [250.96979807 243.19139596 234.51150132]
 [114.08747133  90.55085605  47.05397621]
 [130.67465623 157.60407962 179.68734331]
 [ 39.39436554  32.75744404  25.56786221]]","[[250.96979807 243.19139596 234.51150132]
 [250.96979807 243.19139596 234.51150132]
 [250.96979807 243.19139596 234.51150132]
 ...
 [ 39.39436554  32.75744404  25.56786221]
 [ 39.39436554  32.75744404  25.56786221]
 [ 39.39436554  32.75744404  25.56786221]]",171125699.16521445,0.0,7.015625,102,8
3,[12 12 12 ...  5  5  5],"[[235.45323895 118.52702703  45.14693265]
 [ 30.24186297  25.79560389  22.94785382]
 [163.29065925 130.00156549 102.00173943]
 [142.23748908 159.35404967 177.92505928]
 [102.32713106 153.81776951 185.73520177]
 [ 55.69895917  43.53698343  29.87208228]
 [ 32.60209019  56.5048384   69.38484614]
 [ 91.41429909  75.76469976  30.95566656]
 [232.33705483 202.32857547 179.89867157]
 [214.40740741 160.30437352 110.80466903]
 [140.09655053 107.3758017   36.08302999]
 [186.93937896 171.87678006 169.0247231 ]
 [254.01214675 252.7761527  249.34432325]
 [ 71.78613146  76.01932675  81.60953595]
 [113.73175378  96.76449577  88.03905227]
 [ 82.25929249 120.32389131 144.85003845]]","[[254.01214675 252.7761527  249.34432325]
 [254.01214675 252.7761527  249.34432325]
 [254.01214675 252.7761527  249.34432325]
 ...
 [ 55.69895917  43.53698343  29.87208228]
 [ 55.69895917  43.53698343  29.87208228]
 [ 55.69895917  43.53698343  29.87208228]]",80226363.50447044,0.0,11.6875,88,16
