,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[166. 159. 166.]
 [ 51.  52.  34.]]","[[166. 159. 166.]
 [166. 159. 166.]
 [166. 159. 166.]
 ...
 [ 51.  52.  34.]
 [ 51.  52.  34.]
 [ 51.  52.  34.]]",2239488306064.0,0.40625,0.109375,6,2
1,[3 3 3 ... 2 2 2],"[[211. 151. 104.]
 [ 91.  87.  77.]
 [ 38.  33.  26.]
 [148. 164. 179.]]","[[148. 164. 179.]
 [148. 164. 179.]
 [148. 164. 179.]
 ...
 [ 38.  33.  26.]
 [ 38.  33.  26.]
 [ 38.  33.  26.]]",1930818632521.0,2.34375,0.453125,14,4
2,[0 0 0 ... 3 1 1],"[[241. 209. 192.]
 [ 34.  28.  24.]
 [149. 165. 179.]
 [ 79.  65.  31.]
 [ 49.  64.  73.]
 [119. 100.  81.]
 [ 95. 137. 162.]
 [212. 151. 102.]]","[[241. 209. 192.]
 [241. 209. 192.]
 [241. 209. 192.]
 ...
 [ 79.  65.  31.]
 [ 34.  28.  24.]
 [ 34.  28.  24.]]",78584908900.0,10.046875,1.15625,18,8
3,[15 15 15 ...  7 10 10],"[[ 88. 126. 148.]
 [238. 207. 187.]
 [170. 168. 175.]
 [137. 155. 176.]
 [120.  94.  37.]
 [151. 119.  89.]
 [ 88.  87.  89.]
 [ 76.  65.  32.]
 [244. 118.  42.]
 [210. 157. 110.]
 [ 48.  37.  28.]
 [208. 182. 169.]
 [ 41.  58.  68.]
 [ 28.  24.  22.]
 [103. 162. 196.]
 [255. 255. 255.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 76.  65.  32.]
 [ 48.  37.  28.]
 [ 48.  37.  28.]]",5392846096.0,41.609375,3.265625,26,16
