,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[200.94411174 181.7807516  167.88228884]
 [121.26707179  88.58324468  74.23717475]]","[[121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 ...
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]
 [121.26707179  88.58324468  74.23717475]]",496438158.5246804,0.453125,0.4375,20,2
1,[3 3 3 ... 2 2 2],"[[194.59960533 173.2411157  157.4666932 ]
 [227.45132976 215.01032311 206.85057739]
 [ 91.10151286  55.16565809  44.46187595]
 [156.05674695 127.99665677 109.85412955]]","[[156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 [156.05674695 127.99665677 109.85412955]
 ...
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]
 [ 91.10151286  55.16565809  44.46187595]]",167269054.17505154,2.453125,1.40625,38,4
2,[7 7 7 ... 4 4 1],"[[178.87023363 153.82218183 135.0015525 ]
 [ 92.87853335  58.23001131  46.70190599]
 [218.76109054 199.4949539  186.4189719 ]
 [128.71422984  91.14047324  75.59187797]
 [ 56.13042838  21.02105108  15.60989254]
 [195.71972376 176.21505525 161.68823204]
 [236.75338024 231.32298565 228.57077815]
 [156.0683423  129.74185051 111.52595763]]","[[156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 [156.0683423  129.74185051 111.52595763]
 ...
 [ 56.13042838  21.02105108  15.60989254]
 [ 56.13042838  21.02105108  15.60989254]
 [ 92.87853335  58.23001131  46.70190599]]",72974651.87074216,10.84375,7.765625,106,8
3,[ 9  9  9 ...  4  4 13],"[[124.38625849  96.84122453  78.44029924]
 [197.54187883 180.09633171 167.00415671]
 [189.11068874 168.53093583 151.8660031 ]
 [142.94029245  36.54752234  42.6226645 ]
 [ 53.60818268  15.78744053  11.094196  ]
 [222.24863559 207.14574573 196.60365035]
 [208.0885666  193.89446635 182.82061391]
 [148.1302954  121.6263644  102.72704374]
 [190.46601208  73.81117825  85.07854985]
 [162.29899749 138.74867168 119.9364411 ]
 [231.55364372 223.14334514 218.60931174]
 [242.7077796  240.70210542 240.03076004]
 [243.06375058 188.252443   160.34550954]
 [ 73.2402505   50.60945061  40.59849132]
 [180.01946154 153.52763788 134.39408071]
 [102.07230022  74.47815247  56.67537069]]","[[162.29899749 138.74867168 119.9364411 ]
 [162.29899749 138.74867168 119.9364411 ]
 [162.29899749 138.74867168 119.9364411 ]
 ...
 [ 53.60818268  15.78744053  11.094196  ]
 [ 53.60818268  15.78744053  11.094196  ]
 [ 73.2402505   50.60945061  40.59849132]]",36678745.94735945,42.484375,13.015625,94,16
