,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[199. 180. 166.]
 [136. 101.  84.]]","[[136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]
 ...
 [136. 101.  84.]
 [136. 101.  84.]
 [136. 101.  84.]]",552908196.0,0.0,0.359375,19,2
1,[3 3 3 ... 0 0 0],"[[ 99.  62.  51.]
 [226. 210. 200.]
 [194. 174. 159.]
 [160. 135. 117.]]","[[160. 135. 117.]
 [160. 135. 117.]
 [160. 135. 117.]
 ...
 [ 99.  62.  51.]
 [ 99.  62.  51.]
 [ 99.  62.  51.]]",4336749316.0,0.0,0.34375,10,4
2,[0 0 0 ... 3 3 3],"[[154. 129. 110.]
 [118.  88.  72.]
 [211. 198. 187.]
 [ 71.  40.  32.]
 [193. 174. 159.]
 [244. 193. 165.]
 [235. 229. 228.]
 [175. 150. 131.]]","[[154. 129. 110.]
 [154. 129. 110.]
 [154. 129. 110.]
 ...
 [ 71.  40.  32.]
 [ 71.  40.  32.]
 [ 71.  40.  32.]]",771950656.0,0.0,0.890625,13,8
3,[ 6  6  6 ... 10 10  1],"[[150. 124. 105.]
 [ 87.  61.  49.]
 [121.  94.  76.]
 [204. 188. 176.]
 [229. 223. 218.]
 [219. 207. 196.]
 [163. 140. 121.]
 [211. 198. 187.]
 [197. 180. 166.]
 [154.  41.  47.]
 [ 56.  19.  15.]
 [178. 154. 134.]
 [191. 173. 158.]
 [245. 192. 163.]
 [187. 165. 146.]
 [242. 240. 239.]]","[[163. 140. 121.]
 [163. 140. 121.]
 [163. 140. 121.]
 ...
 [ 56.  19.  15.]
 [ 56.  19.  15.]
 [ 87.  61.  49.]]",719580625.0,0.0,6.9375,44,16
