,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[172.03466717 161.22584305 153.36686159]
 [ 60.27504566  56.21564111  45.89597803]]","[[172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 ...
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]]",716006603.1182334,0.015625,0.203125,11,2
1,[1 1 1 ... 3 3 3],"[[120.59117312 148.65273349 170.45885535]
 [219.06576192 193.71971649 175.20372906]
 [164.26006904 117.02298009  72.27018168]
 [ 49.51567163  47.40290874  40.51487299]]","[[219.06576192 193.71971649 175.20372906]
 [219.06576192 193.71971649 175.20372906]
 [219.06576192 193.71971649 175.20372906]
 ...
 [ 49.51567163  47.40290874  40.51487299]
 [ 49.51567163  47.40290874  40.51487299]
 [ 49.51567163  47.40290874  40.51487299]]",377092763.5528029,0.0,2.078125,60,4
2,[4 4 4 ... 3 3 3],"[[154.67250657 164.63667459 179.16526926]
 [116.66372168  94.82742046  58.2449073 ]
 [ 96.48748646 135.90416316 161.56094333]
 [ 40.38300566  33.81830501  26.09758969]
 [241.69080016 224.54995938 211.78838343]
 [205.55737705 160.32864664 119.52321407]
 [ 54.80886013  68.37809856  75.45425585]
 [224.73544884 119.75326659  46.53589004]]","[[241.69080016 224.54995938 211.78838343]
 [241.69080016 224.54995938 211.78838343]
 [241.69080016 224.54995938 211.78838343]
 ...
 [ 40.38300566  33.81830501  26.09758969]
 [ 40.38300566  33.81830501  26.09758969]
 [ 40.38300566  33.81830501  26.09758969]]",175253341.6373429,0.0,4.34375,63,8
3,[ 7  7  7 ... 12  6  6],"[[225.986325   198.47517556 181.37920414]
 [236.2826087  118.09266579  44.40887132]
 [138.74630021 112.69231853  95.23284003]
 [ 86.47753729  84.67051655  86.33293925]
 [135.91446579 104.31152461  37.155012  ]
 [215.76956056 171.67470525 130.82851018]
 [ 54.07551612  42.10008451  29.52420621]
 [254.00290557 252.34285714 248.29418886]
 [ 29.6122328   25.70686317  23.1310601 ]
 [ 37.98412187  59.16410091  71.27726284]
 [160.8877822  165.39526742 177.40764216]
 [ 80.61230196 120.07602183 145.28677939]
 [ 88.3014487   73.18465965  31.87110538]
 [199.05029014 147.52882012  99.72946486]
 [114.12665675 153.26852854 180.45469299]
 [  9.05887933  77.95025593 252.76648229]]","[[254.00290557 252.34285714 248.29418886]
 [254.00290557 252.34285714 248.29418886]
 [254.00290557 252.34285714 248.29418886]
 ...
 [ 88.3014487   73.18465965  31.87110538]
 [ 54.07551612  42.10008451  29.52420621]
 [ 54.07551612  42.10008451  29.52420621]]",87077287.89708331,0.0,10.3125,78,16
