,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[172.03466717 161.22584305 153.36686159]
 [ 60.27504566  56.21564111  45.89597803]]","[[172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 ...
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]]",716006603.1182334,0.0,0.234375,11,2
1,[1 1 1 ... 2 2 2],"[[164.32262117 117.05663142  72.28525071]
 [219.06839879 193.72966767 175.22126888]
 [ 49.53157961  47.41306327  40.51905702]
 [120.58841281 148.64802847 170.45027758]]","[[219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 ...
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]]",377092750.6596686,0.015625,1.0,28,4
2,[6 6 6 ... 0 7 7],"[[ 90.24118368  74.15247244  32.64006189]
 [217.79445202 140.20486585  79.80081855]
 [122.07363633 152.29113401 175.67747493]
 [133.42012246 107.18563874  78.53722516]
 [200.99468085 176.87472138 162.41013171]
 [ 58.92139428  78.63566441  90.72779839]
 [250.39753621 241.52771766 232.10687531]
 [ 37.28699541  32.5428428   28.55906716]]","[[250.39753621 241.52771766 232.10687531]
 [250.39753621 241.52771766 232.10687531]
 [250.39753621 241.52771766 232.10687531]
 ...
 [ 90.24118368  74.15247244  32.64006189]
 [ 37.28699541  32.5428428   28.55906716]
 [ 37.28699541  32.5428428   28.55906716]]",173369095.1444285,0.015625,5.609375,80,8
3,[12 12 12 ...  6  6  6],"[[ 71.78102112  76.03662032  81.63528288]
 [235.42165059 118.52947481  45.14619507]
 [ 82.36304514 120.44057638 144.9979597 ]
 [102.15332782 154.00319187 186.05343421]
 [140.03224129 107.35690761  36.05910903]
 [163.1509434  129.88801537 101.92819706]
 [ 55.70873906  43.54141501  29.88358191]
 [186.50735948 171.7303171  169.15894498]
 [ 91.40010411  75.75117126  30.95918792]
 [ 30.24778183  25.80134434  22.94503553]
 [214.27770701 160.277805   110.86585007]
 [ 32.59914836  56.50527436  69.38575438]
 [253.99851485 252.73836634 249.29207921]
 [232.1457779  202.13163422 179.7557765 ]
 [113.71144456  96.75610337  88.04072883]
 [141.96796753 159.23671558 177.88142367]]","[[253.99851485 252.73836634 249.29207921]
 [253.99851485 252.73836634 249.29207921]
 [253.99851485 252.73836634 249.29207921]
 ...
 [ 55.70873906  43.54141501  29.88358191]
 [ 55.70873906  43.54141501  29.88358191]
 [ 55.70873906  43.54141501  29.88358191]]",80225836.08274178,0.015625,13.234375,93,16
