,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[166. 159. 166.]
 [ 51.  52.  34.]]","[[166. 159. 166.]
 [166. 159. 166.]
 [166. 159. 166.]
 ...
 [ 51.  52.  34.]
 [ 51.  52.  34.]
 [ 51.  52.  34.]]",2239488306064.0,0.40625,0.140625,8,2
1,[3 3 3 ... 1 1 1],"[[136. 157. 175.]
 [ 39.  34.  27.]
 [ 96.  90.  77.]
 [222. 173. 139.]]","[[222. 173. 139.]
 [222. 173. 139.]
 [222. 173. 139.]
 ...
 [ 39.  34.  27.]
 [ 39.  34.  27.]
 [ 39.  34.  27.]]",341365590225.0,2.296875,1.09375,35,4
2,[5 5 5 ... 1 1 1],"[[130. 156. 176.]
 [ 38.  33.  26.]
 [ 89.  86.  76.]
 [207. 142.  94.]
 [210. 181. 173.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 38.  33.  26.]
 [ 38.  33.  26.]
 [ 38.  33.  26.]]",64665947025.0,9.671875,2.1875,37,8
3,[5 5 5 ... 1 1 1],"[[130. 156. 176.]
 [ 38.  33.  26.]
 [ 89.  86.  76.]
 [207. 142.  94.]
 [210. 181. 173.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 38.  33.  26.]
 [ 38.  33.  26.]
 [ 38.  33.  26.]]",64665947025.0,42.125,4.953125,37,16
