,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 73.  77.  71.]
 [193. 181. 168.]]","[[73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]
 ...
 [73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]]",85784644.0,0.0,0.5,17,2
1,[2 2 2 ... 0 0 0],"[[143. 135. 100.]
 [204. 201. 202.]
 [ 72.  77.  69.]
 [ 22.  27.  23.]]","[[ 72.  77.  69.]
 [ 72.  77.  69.]
 [ 72.  77.  69.]
 ...
 [143. 135. 100.]
 [143. 135. 100.]
 [143. 135. 100.]]",995153885476.0,0.0,0.734375,15,4
2,[6 6 6 ... 3 3 3],"[[ 23.  64. 117.]
 [220. 224. 225.]
 [ 21.  23.  20.]
 [114. 131.  94.]
 [184. 160. 138.]
 [160. 107.  84.]
 [ 71.  70.  53.]
 [191. 185. 183.]]","[[ 71.  70.  53.]
 [ 71.  70.  53.]
 [ 71.  70.  53.]
 ...
 [114. 131.  94.]
 [114. 131.  94.]
 [114. 131.  94.]]",255176522500.0,0.0,3.609375,38,8
3,[10 10 12 ...  3  3  3],"[[ 13.  17.  16.]
 [194. 174. 162.]
 [114. 126. 140.]
 [120. 142.  88.]
 [238. 241. 247.]
 [221. 225. 225.]
 [215. 202. 126.]
 [183. 189. 188.]
 [ 18.  62. 115.]
 [158. 104.  82.]
 [ 96.  96.  75.]
 [183. 157. 141.]
 [ 69.  69.  52.]
 [ 44.  42.  31.]
 [204. 209. 211.]
 [172. 134. 112.]]","[[ 96.  96.  75.]
 [ 96.  96.  75.]
 [ 69.  69.  52.]
 ...
 [120. 142.  88.]
 [120. 142.  88.]
 [120. 142.  88.]]",136296825856.0,0.0,7.453125,38,16
