,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[172.03466717 161.22584305 153.36686159]
 [ 60.27504566  56.21564111  45.89597803]]","[[172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 ...
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]]",716006603.1182334,0.421875,0.171875,9,2
1,[0 0 0 ... 2 2 2],"[[219.06839879 193.72966767 175.22126888]
 [164.32262117 117.05663142  72.28525071]
 [ 49.53157961  47.41306327  40.51905702]
 [120.58841281 148.64802847 170.45027758]]","[[219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 ...
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]]",377092750.6596686,2.296875,1.453125,42,4
2,[2 2 2 ... 4 4 4],"[[ 93.06759624 114.16020006 128.84934829]
 [208.56247944 136.89715075  80.42271501]
 [251.00105634 243.2693662  234.6306338 ]
 [130.84729421 157.71021341 179.76227134]
 [ 39.42274857  32.79845033  25.59367605]
 [ 53.0122428   65.12746914  71.54855967]
 [114.2262453   90.73759992  47.59753322]
 [206.84635616 179.13484932 160.86569863]]","[[251.00105634 243.2693662  234.6306338 ]
 [251.00105634 243.2693662  234.6306338 ]
 [251.00105634 243.2693662  234.6306338 ]
 ...
 [ 39.42274857  32.79845033  25.59367605]
 [ 39.42274857  32.79845033  25.59367605]
 [ 39.42274857  32.79845033  25.59367605]]",171125336.05318147,9.875,2.859375,45,8
3,[9 9 9 ... 4 4 4],"[[140.01489693 107.34747965  36.05248571]
 [ 71.79090523  76.05344241  81.65490863]
 [102.14525668 154.01277502 186.07049917]
 [ 82.38890306 120.4502551  145.0065051 ]
 [ 55.67710324  43.52302003  29.87371341]
 [235.42165059 118.52947481  45.14619507]
 [214.27945501 160.27543619 110.85630269]
 [113.7143878   96.75702716  88.03918533]
 [232.1457779  202.13163422 179.7557765 ]
 [253.99851485 252.73836634 249.29207921]
 [ 91.36424116  75.70935551  30.97016632]
 [ 30.24054573  25.79488855  22.94611837]
 [163.1509434  129.88801537 101.92819706]
 [186.51382579 171.72931069 169.1512937 ]
 [ 32.60939766  56.51851494  69.40249444]
 [141.96223235 159.23159998 177.87589737]]","[[253.99851485 252.73836634 249.29207921]
 [253.99851485 252.73836634 249.29207921]
 [253.99851485 252.73836634 249.29207921]
 ...
 [ 55.67710324  43.52302003  29.87371341]
 [ 55.67710324  43.52302003  29.87371341]
 [ 55.67710324  43.52302003  29.87371341]]",80225845.75905459,40.4375,8.53125,65,16
