,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 74.59407487  76.04869875  66.44037077]
 [189.91441097 182.64826808 172.45584686]]","[[74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 ...
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]]",1241175017.8288615,0.0,1.03125,31,2
1,[1 1 3 ... 1 1 1],"[[182.28367015 166.69982352 148.67129213]
 [121.11760406 115.964445    93.0774777 ]
 [212.76599581 217.42816254 220.33402448]
 [ 35.63656913  42.20839938  45.50039282]]","[[121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]
 ...
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]]",470191946.4910411,0.015625,5.46875,103,4
2,[3 3 3 ... 7 7 7],"[[ 24.38334981  25.29490202  24.27692854]
 [176.92046506 157.47478019 135.5315826 ]
 [218.09411424 223.23256688 226.83812003]
 [ 75.07499613  72.71014089  55.3596532 ]
 [157.7524056  108.29695965  84.4453384 ]
 [ 24.69132979  64.33026165 117.15463779]
 [192.00616637 186.37920084 177.42301289]
 [112.84801938 129.75042341 101.71114038]]","[[ 75.07499613  72.71014089  55.3596532 ]
 [ 75.07499613  72.71014089  55.3596532 ]
 [ 75.07499613  72.71014089  55.3596532 ]
 ...
 [112.84801938 129.75042341 101.71114038]
 [112.84801938 129.75042341 101.71114038]
 [112.84801938 129.75042341 101.71114038]]",233100187.9412387,0.0,6.140625,58,8
3,[10 10 10 ...  0  0  0],"[[118.07020621 139.20905937  87.20079523]
 [ 11.73955519 245.87394569 133.28260935]
 [227.35618428 231.56164246 234.01702554]
 [ 55.45564516  51.27152048  34.83934397]
 [129.51579695 142.17252396 153.04552716]
 [217.92188541 200.38774151 131.12708195]
 [202.77729962 209.1457773  214.5436794 ]
 [188.52044154 165.47487962 149.74366312]
 [185.11491992 185.10896319 183.68890138]
 [173.404357   141.39219215 114.1046425 ]
 [ 86.08826579  84.18944392  64.75424128]
 [ 94.95212668 106.49318726 117.00837783]
 [156.13518471 103.59526115  81.66909554]
 [ 16.36505809  40.12734584  74.5291555 ]
 [ 17.83883328  17.90412887  17.15092274]
 [ 25.11627429  69.55320243 128.17374319]]","[[ 86.08826579  84.18944392  64.75424128]
 [ 86.08826579  84.18944392  64.75424128]
 [ 86.08826579  84.18944392  64.75424128]
 ...
 [118.07020621 139.20905937  87.20079523]
 [118.07020621 139.20905937  87.20079523]
 [118.07020621 139.20905937  87.20079523]]",127534421.77603643,0.0,19.359375,90,16
