,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[1 1 1 ... 1 1 1],"[[189.91441097 182.64826808 172.45584686]
 [ 74.59407487  76.04869875  66.44037077]]","[[74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 ...
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]]",1241175017.8288615,0.6875,0.875,26,2
1,[3 3 0 ... 3 3 3],"[[ 35.63656913  42.20839938  45.50039282]
 [212.76599581 217.42816254 220.33402448]
 [182.28367015 166.69982352 148.67129213]
 [121.11760406 115.964445    93.0774777 ]]","[[121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]
 ...
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]]",470191946.4910411,3.765625,3.546875,55,4
2,[4 4 4 ... 7 7 7],"[[ 23.42746625  24.44964871  23.82317185]
 [214.1514778  219.47541105 223.45640545]
 [ 24.61251005  64.02812751 116.32982856]
 [190.47811031 174.99733462 155.84673019]
 [ 72.45588282  69.64033204  52.90666966]
 [126.67531139 138.42246826 145.95132078]
 [165.05477392 117.37525507  92.2149787 ]
 [112.63097802 125.23522848  88.17951579]]","[[ 72.45588282  69.64033204  52.90666966]
 [ 72.45588282  69.64033204  52.90666966]
 [ 72.45588282  69.64033204  52.90666966]
 ...
 [112.63097802 125.23522848  88.17951579]
 [112.63097802 125.23522848  88.17951579]
 [112.63097802 125.23522848  88.17951579]]",234364151.96508196,17.359375,6.6875,59,8
3,[ 9  9  9 ...  7  7 14],"[[195.12423124 201.2300123  206.64107295]
 [224.79577378 229.1502928  231.61505385]
 [ 14.99853587  15.67610725  16.27301428]
 [ 25.59654472  69.69623984 127.85223577]
 [179.39879282 147.78376661 123.57102769]
 [217.26545976 201.68417279 128.90768955]
 [ 45.94182777  41.73702402  27.81804335]
 [128.9697931  147.51365517  98.21062069]
 [ 15.56534676  39.7183566   74.66113527]
 [ 92.5047548   90.5178072   78.4209087 ]
 [192.16074058 174.85419735 162.4596255 ]
 [159.17907011 105.85424526  83.65028661]
 [145.99003595 156.7424756  162.56271186]
 [ 70.71675173  67.84395251  49.1843207 ]
 [110.41370007 128.73067053  79.31762848]
 [103.67928379 118.28963726 136.01057612]]","[[ 92.5047548   90.5178072   78.4209087 ]
 [ 92.5047548   90.5178072   78.4209087 ]
 [ 92.5047548   90.5178072   78.4209087 ]
 ...
 [128.9697931  147.51365517  98.21062069]
 [128.9697931  147.51365517  98.21062069]
 [110.41370007 128.73067053  79.31762848]]",121591040.63017584,67.203125,60.40625,279,16
