,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 73.  77.  71.]
 [193. 181. 168.]]","[[73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]
 ...
 [73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]]",85784644.0,0.6875,0.4375,15,2
1,[3 3 3 ... 3 3 3],"[[ 31.  42.  35.]
 [217. 220. 222.]
 [185. 168. 151.]
 [118. 114.  87.]]","[[118. 114.  87.]
 [118. 114.  87.]
 [118. 114.  87.]
 ...
 [118. 114.  87.]
 [118. 114.  87.]
 [118. 114.  87.]]",1295576638756.0,3.625,0.546875,11,4
2,[3 3 3 ... 0 0 0],"[[113. 130.  93.]
 [222. 226. 226.]
 [194. 197. 203.]
 [ 63.  69.  63.]
 [171. 147. 128.]
 [193. 174. 156.]
 [ 20.  24.  21.]
 [158. 105.  82.]]","[[ 63.  69.  63.]
 [ 63.  69.  63.]
 [ 63.  69.  63.]
 ...
 [113. 130.  93.]
 [113. 130.  93.]
 [113. 130.  93.]]",569540393041.0,16.09375,1.015625,11,8
3,[ 9  9 10 ... 11 11 11],"[[173. 142. 119.]
 [ 14.  15.  14.]
 [187. 182. 177.]
 [201. 206. 210.]
 [238. 241. 247.]
 [ 11.  41.  78.]
 [ 32.  70. 127.]
 [189. 164. 149.]
 [221. 225. 225.]
 [ 95.  94.  74.]
 [ 68.  67.  50.]
 [119. 141.  88.]
 [159. 105.  83.]
 [216. 202. 127.]
 [ 43.  41.  28.]
 [115. 127. 140.]]","[[ 95.  94.  74.]
 [ 95.  94.  74.]
 [ 68.  67.  50.]
 ...
 [119. 141.  88.]
 [119. 141.  88.]
 [119. 141.  88.]]",50562919044.0,64.53125,6.8125,35,16
