,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[172.03466717 161.22584305 153.36686159]
 [ 60.27504566  56.21564111  45.89597803]]","[[172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 [172.03466717 161.22584305 153.36686159]
 ...
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]
 [ 60.27504566  56.21564111  45.89597803]]",716006603.1182334,0.4375,0.21875,12,2
1,[3 3 3 ... 1 1 1],"[[120.58841281 148.64802847 170.45027758]
 [ 49.53157961  47.41306327  40.51905702]
 [164.32262117 117.05663142  72.28525071]
 [219.06839879 193.72966767 175.22126888]]","[[219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 [219.06839879 193.72966767 175.22126888]
 ...
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]
 [ 49.53157961  47.41306327  40.51905702]]",377092750.6596686,2.265625,2.015625,60,4
2,[7 7 7 ... 1 1 1],"[[ 84.80115862 121.2444517  143.74078003]
 [ 39.34314715  37.66500299  33.73069015]
 [ 98.89109521  85.33801226  60.50802835]
 [217.80232376 118.41764798  43.64892448]
 [135.90135098 159.08743711 179.83891288]
 [197.22778698 150.37955298 108.31277594]
 [212.04541596 186.4184352  171.17685342]
 [252.86241401 248.45007296 241.9341255 ]]","[[252.86241401 248.45007296 241.9341255 ]
 [252.86241401 248.45007296 241.9341255 ]
 [252.86241401 248.45007296 241.9341255 ]
 ...
 [ 39.34314715  37.66500299  33.73069015]
 [ 39.34314715  37.66500299  33.73069015]
 [ 39.34314715  37.66500299  33.73069015]]",181171384.01235828,10.140625,6.40625,96,8
3,[15 15 15 ...  2  1  1],"[[ 34.24932808  56.37591829  68.66502419]
 [ 34.70963683  28.34564397  24.24959761]
 [ 72.62761152  59.73687182  30.33568605]
 [233.41108354 118.19230769  44.43403639]
 [125.33469781  98.59523236  33.70804238]
 [115.17366982  98.02635505  89.26156141]
 [164.96752577 129.53642612  97.22044674]
 [ 74.28839229  77.21192544  81.65039187]
 [214.85019671 160.26772924 110.40340966]
 [117.88495265 141.6649129  161.8340933 ]
 [ 74.11186273 116.88285761 143.08067976]
 [189.52892222 172.1627453  166.89715401]
 [ 97.6993205  159.96338241 195.91279728]
 [232.96081846 203.12407488 180.73733856]
 [146.63613661 163.3171502  181.93889093]
 [254.06897417 253.00852772 249.81540005]]","[[254.06897417 253.00852772 249.81540005]
 [254.06897417 253.00852772 249.81540005]
 [254.06897417 253.00852772 249.81540005]
 ...
 [ 72.62761152  59.73687182  30.33568605]
 [ 34.70963683  28.34564397  24.24959761]
 [ 34.70963683  28.34564397  24.24959761]]",81122326.07730715,43.34375,22.21875,159,16
