,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 74.59407487  76.04869875  66.44037077]
 [189.91441097 182.64826808 172.45584686]]","[[74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 ...
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]]",1241175017.8288615,0.9375,0.453125,13,2
1,[2 2 3 ... 2 2 2],"[[212.76599581 217.42816254 220.33402448]
 [182.28367015 166.69982352 148.67129213]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]]","[[121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]
 ...
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]]",470191946.4910411,3.703125,1.484375,28,4
2,[3 3 3 ... 4 4 4],"[[175.86628713 156.64998083 135.00050146]
 [ 24.69258711  64.33485807 117.16433472]
 [217.70313256 222.88078641 226.55734487]
 [ 74.99408027  72.63737796  55.29620332]
 [112.71572033 129.63330262 101.4689634 ]
 [ 24.35963666  25.27278494  24.26677154]
 [192.18290723 185.75758954 175.86431323]
 [157.62533089 108.06792914  84.24544899]]","[[ 74.99408027  72.63737796  55.29620332]
 [ 74.99408027  72.63737796  55.29620332]
 [ 74.99408027  72.63737796  55.29620332]
 ...
 [112.71572033 129.63330262 101.4689634 ]
 [112.71572033 129.63330262 101.4689634 ]
 [112.71572033 129.63330262 101.4689634 ]]",233087923.95697808,16.71875,3.078125,27,8
3,[ 4  4  6 ... 11 11 11],"[[ 25.66898148  69.56270129 127.3510467 ]
 [ 99.44450975 113.73513566 129.97502204]
 [190.39731721 166.06697525 150.42584546]
 [158.4506163  104.53855184  82.26129876]
 [ 97.85642448  97.14785273  75.80804578]
 [202.9854194  209.38515727 214.81766055]
 [ 71.76299677  69.72987866  52.66815095]
 [185.82776588 185.99965264 184.51178139]
 [137.81106301 149.22010582 155.26060606]
 [227.39543402 231.58660311 234.01500251]
 [ 47.50569745  43.20527645  28.60948639]
 [119.89088456 141.10005059  89.03752424]
 [174.39061015 141.91332446 114.9397453 ]
 [217.70372905 200.94936709 130.32774547]
 [ 15.41622494  39.48041023  74.32127218]
 [ 15.41162531  15.96016097  16.35698636]]","[[ 97.85642448  97.14785273  75.80804578]
 [ 97.85642448  97.14785273  75.80804578]
 [ 71.76299677  69.72987866  52.66815095]
 ...
 [119.89088456 141.10005059  89.03752424]
 [119.89088456 141.10005059  89.03752424]
 [119.89088456 141.10005059  89.03752424]]",119756397.91399375,67.109375,22.3125,101,16
