,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 74.59407487  76.04869875  66.44037077]
 [189.91441097 182.64826808 172.45584686]]","[[74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 ...
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]
 [74.59407487 76.04869875 66.44037077]]",1241175017.8288615,0.015625,0.6875,22,2
1,[1 1 0 ... 1 1 1],"[[ 35.63656913  42.20839938  45.50039282]
 [121.11760406 115.964445    93.0774777 ]
 [182.28367015 166.69982352 148.67129213]
 [212.76599581 217.42816254 220.33402448]]","[[121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [ 35.63656913  42.20839938  45.50039282]
 ...
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]
 [121.11760406 115.964445    93.0774777 ]]",470191946.4910411,0.015625,2.546875,44,4
2,[3 3 3 ... 4 4 4],"[[ 23.44600174  24.46127955  23.83370586]
 [214.1514778  219.47541105 223.45640545]
 [ 24.6135709   64.0337598  116.33840177]
 [ 72.49096212  69.67466829  52.93779245]
 [112.63706473 125.27176651  88.19667108]
 [165.04857879 117.35859526  92.1989332 ]
 [126.68060653 138.41879776 145.95414887]
 [190.47812126 174.99674705 155.84593591]]","[[ 72.49096212  69.67466829  52.93779245]
 [ 72.49096212  69.67466829  52.93779245]
 [ 72.49096212  69.67466829  52.93779245]
 ...
 [112.63706473 125.27176651  88.19667108]
 [112.63706473 125.27176651  88.19667108]
 [112.63706473 125.27176651  88.19667108]]",234364141.59116322,0.015625,4.9375,47,8
3,[12 12 12 ...  6  6  6],"[[ 49.77071794  45.32935663  29.88309544]
 [159.78181021 105.16671235  82.72589222]
 [202.24063789 208.70706626 214.30844102]
 [ 91.64015529 105.75572367 119.56111885]
 [185.05623152 185.07067319 183.61337275]
 [188.70847959 165.80823942 150.18386292]
 [120.75115167 141.90475146  90.26648532]
 [129.59687556 141.97791345 153.24914706]
 [ 24.1530968   68.78076292 127.39735439]
 [104.8588707  101.65379218  72.35696625]
 [ 16.08473038  16.42080021  16.45238507]
 [174.25516713 142.45011483 115.51326869]
 [ 73.66298011  72.65480795  56.88967584]
 [227.08970294 231.28227891 233.66547973]
 [ 15.65915395  39.14355062  73.38291724]
 [217.94344043 200.49012718 131.07279116]]","[[ 73.66298011  72.65480795  56.88967584]
 [ 73.66298011  72.65480795  56.88967584]
 [ 73.66298011  72.65480795  56.88967584]
 ...
 [120.75115167 141.90475146  90.26648532]
 [120.75115167 141.90475146  90.26648532]
 [120.75115167 141.90475146  90.26648532]]",119723658.96762238,0.015625,17.84375,82,16
