,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 1 1 1],"[[166. 159. 166.]
 [ 51.  52.  34.]]","[[166. 159. 166.]
 [166. 159. 166.]
 [166. 159. 166.]
 ...
 [ 51.  52.  34.]
 [ 51.  52.  34.]
 [ 51.  52.  34.]]",2239488306064.0,0.0,0.125,7,2
1,[0 0 0 ... 1 1 1],"[[222. 172. 139.]
 [ 39.  34.  27.]
 [ 96.  90.  77.]
 [135. 157. 175.]]","[[222. 172. 139.]
 [222. 172. 139.]
 [222. 172. 139.]
 ...
 [ 39.  34.  27.]
 [ 39.  34.  27.]
 [ 39.  34.  27.]]",376792179556.0,0.0,0.59375,19,4
2,[4 4 4 ... 3 0 0],"[[ 35.          29.          25.        ]
 [119.          97.          64.        ]
 [ 66.86526511 202.94785781  42.07144636]
 [ 64.          66.          65.        ]
 [240.         208.         191.        ]
 [147.         164.         179.        ]
 [ 92.         133.         158.        ]
 [211.         151.         103.        ]]","[[240. 208. 191.]
 [240. 208. 191.]
 [240. 208. 191.]
 ...
 [ 64.  66.  65.]
 [ 35.  29.  25.]
 [ 35.  29.  25.]]",19311827089.0,0.015625,0.984375,16,8
3,[4 4 4 ... 9 9 9],"[[ 93.         135.         161.        ]
 [207.         157.         113.        ]
 [144.         163.         180.        ]
 [ 44.          60.          68.        ]
 [255.         255.         255.        ]
 [141.         113.          76.        ]
 [ 40.13160634  22.17519884 206.37492946]
 [ 30.          25.          23.        ]
 [ 27.74262208 196.65766937  33.05690227]
 [ 53.          42.          30.        ]
 [ 17.52995713 238.92150015 102.99050771]
 [243.         118.          42.        ]
 [ 22.25525628   8.54687461 217.47881496]
 [ 88.          89.          91.        ]
 [219.         189.         176.        ]
 [ 95.          78.          31.        ]]","[[255. 255. 255.]
 [255. 255. 255.]
 [255. 255. 255.]
 ...
 [ 53.  42.  30.]
 [ 53.  42.  30.]
 [ 53.  42.  30.]]",53479969.0,0.0,5.328125,42,16
